player,score
"['agent_Ann', 'agent_HungThom', 'Dat', 'agent_Chi']","[17, 13, 8, 6]"
"['agent_HungThom', 'agent_Ann', 'longlee', 'agent_Chi']","[16, 14, 11, 0]"
"['phi', 'agent_HungThom', 'agent_Ann', 'agent_Chi']","[16, 10, 9, 2]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Ann', 'agent_Chi']","[15, 11, 8, 8]"
"['agent_Ann', 'agent_HungThom', 'Trangold', 'agent_Chi']","[17, 11, 10, 5]"
"['agent_Ann', 'agent_HungThom', 'Viet_Anh', 'agent_Chi']","[18, 13, 7, 6]"
"['agent_Ann', 'agent_Chi', 'agent_MA', 'agent_Khanh']","[15, 7, 7, 2]"
"['agent_Ann', 'agent_NA', 'agent_Khanh', 'agent_Chi']","[16, 11, 5, 2]"
"['agent_Chi', 'agent_Ann', 'agent_Khanh', 'agent_NhatMinh']","[16, 11, 8, 8]"
"['agent_Ann', 'agent_Phong', 'agent_Chi', 'agent_Khanh']","[17, 12, 8, 3]"
"['agent_Ann', 'agent_Khanh', 'agent_Chi', 'agent_random']","[16, 10, 9, 3]"
"['agent_Ann', 'agent_Chi', 'agent_Thu_Trang', 'agent_Khanh']","[16, 11, 10, 9]"
"['agent_Ann', 'agent_Chi', 'agent_Khanh', 'agent_TongMinh']","[16, 12, 12, 5]"
"['agent_Khanh', 'agent_Ann', 'agent_Chi', 'agent_xung']","[15, 8, 7, 2]"
"['agent_Ann', 'agent_Chi', 'agent_Khanh', 'Dat']","[15, 10, 9, 7]"
"['longlee', 'agent_Chi', 'agent_Khanh', 'agent_Ann']","[16, 13, 10, 9]"
"['agent_Ann', 'agent_Khanh', 'phi', 'agent_Chi']","[15, 12, 8, 7]"
"['agent_Khanh', 'Trang9PM_1905', 'agent_Ann', 'agent_Chi']","[15, 12, 8, 5]"
"['agent_Khanh', 'Trangold', 'agent_Ann', 'agent_Chi']","[15, 12, 6, 6]"
"['agent_Khanh', 'agent_Ann', 'agent_Chi', 'Viet_Anh']","[17, 16, 13, 8]"
"['agent_Ann', 'agent_MA', 'agent_NA', 'agent_Chi']","[15, 9, 9, 1]"
"['agent_MA', 'agent_Ann', 'agent_NhatMinh', 'agent_Chi']","[15, 14, 10, 7]"
"['agent_Ann', 'agent_MA', 'agent_Chi', 'agent_Phong']","[15, 9, 8, 6]"
"['agent_Ann', 'agent_MA', 'agent_random', 'agent_Chi']","[16, 4, 2, 1]"
"['agent_Ann', 'agent_MA', 'agent_Thu_Trang', 'agent_Chi']","[16, 9, 4, 2]"
"['agent_MA', 'agent_Ann', 'agent_TongMinh', 'agent_Chi']","[16, 14, 4, 2]"
"['agent_Ann', 'agent_MA', 'agent_xung', 'agent_Chi']","[17, 11, 6, 4]"
"['agent_Ann', 'agent_MA', 'agent_Chi', 'Dat']","[16, 10, 2, 2]"
"['agent_Ann', 'agent_MA', 'longlee', 'agent_Chi']","[15, 12, 2, 1]"
"['agent_Ann', 'phi', 'agent_Chi', 'agent_MA']","[18, 10, 7, 7]"
"['agent_MA', 'Trang9PM_1905', 'agent_Ann', 'agent_Chi']","[16, 11, 7, 0]"
"['agent_Chi', 'agent_Ann', 'Trangold', 'agent_MA']","[18, 14, 13, 9]"
"['agent_Ann', 'agent_MA', 'agent_Chi', 'Viet_Anh']","[15, 14, 9, 7]"
"['agent_NA', 'agent_NhatMinh', 'agent_Ann', 'agent_Chi']","[15, 6, 5, 1]"
"['agent_NA', 'agent_Ann', 'agent_Phong', 'agent_Chi']","[15, 6, 6, 2]"
"['agent_Ann', 'agent_NA', 'agent_Chi', 'agent_random']","[24, 11, 5, 1]"
"['agent_Ann', 'agent_NA', 'agent_Thu_Trang', 'agent_Chi']","[17, 13, 6, 4]"
"['agent_NA', 'agent_Ann', 'agent_TongMinh', 'agent_Chi']","[15, 12, 7, 3]"
"['agent_Ann', 'agent_NA', 'agent_xung', 'agent_Chi']","[16, 12, 11, 1]"
"['Dat', 'agent_Ann', 'agent_NA', 'agent_Chi']","[15, 14, 13, 9]"
"['agent_Ann', 'agent_NA', 'agent_Chi', 'longlee']","[16, 14, 9, 9]"
"['agent_NA', 'agent_Ann', 'agent_Chi', 'phi']","[15, 6, 6, 5]"
"['agent_Ann', 'agent_Chi', 'Trang9PM_1905', 'agent_NA']","[15, 15, 14, 13]"
"['agent_NA', 'Trangold', 'agent_Ann', 'agent_Chi']","[15, 10, 4, 4]"
"['agent_Ann', 'agent_NA', 'Viet_Anh', 'agent_Chi']","[16, 6, 6, 3]"
"['agent_Ann', 'agent_Phong', 'agent_NhatMinh', 'agent_Chi']","[17, 10, 4, 2]"
