player,score
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_xung', 'agent_Hieuuu']","[15, 13, 11, 5]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_Thu_Trang', 'Dat']","[17, 7, 7, 1]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hieuuu', 'longlee']","[15, 14, 12, 9]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hieuuu', 'phi']","[15, 10, 4, 2]"
"['agent_Hieuuu', 'Trang9PM_1905', 'agent_Thu_Trang', 'agent_Hieu_val']","[15, 12, 9, 8]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_Thu_Trang', 'Trangold']","[18, 14, 12, 11]"
"['agent_Hieu_val', 'Viet_Anh', 'agent_Thu_Trang', 'agent_Hieuuu']","[17, 13, 8, 6]"
"['agent_Hieu_val', 'agent_Hieuuu', 'agent_TongMinh', 'agent_xung']","[17, 12, 12, 5]"
"['agent_Hieuuu', 'agent_TongMinh', 'agent_Hieu_val', 'Dat']","[18, 17, 16, 10]"
"['agent_Hieu_val', 'agent_TongMinh', 'agent_Hieuuu', 'longlee']","[17, 13, 12, 3]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_TongMinh', 'phi']","[17, 13, 13, 5]"
"['agent_Hieu_val', 'agent_Hieuuu', 'Trang9PM_1905', 'agent_TongMinh']","[16, 14, 10, 7]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_TongMinh', 'Trangold']","[16, 13, 10, 9]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_TongMinh', 'Viet_Anh']","[16, 12, 9, 5]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_xung', 'Dat']","[15, 14, 9, 4]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_xung', 'longlee']","[19, 13, 6, 6]"
"['agent_Hieu_val', 'agent_Hieuuu', 'phi', 'agent_xung']","[16, 13, 11, 5]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_xung', 'Trang9PM_1905']","[16, 14, 11, 7]"
"['agent_Hieuuu', 'Trangold', 'agent_Hieu_val', 'agent_xung']","[15, 14, 4, 0]"
"['agent_Hieu_val', 'agent_Hieuuu', 'agent_xung', 'Viet_Anh']","[18, 12, 11, 6]"
"['agent_Hieuuu', 'agent_Hieu_val', 'Dat', 'longlee']","[15, 14, 10, 9]"
"['agent_Hieu_val', 'agent_Hieuuu', 'phi', 'Dat']","[20, 10, 10, 4]"
"['agent_Hieu_val', 'Trang9PM_1905', 'agent_Hieuuu', 'Dat']","[15, 10, 4, 3]"
"['agent_Hieu_val', 'Trangold', 'agent_Hieuuu', 'Dat']","[15, 12, 7, 3]"
"['agent_Hieu_val', 'Viet_Anh', 'agent_Hieuuu', 'Dat']","[15, 13, 10, 9]"
"['agent_Hieu_val', 'phi', 'agent_Hieuuu', 'longlee']","[15, 7, 6, 6]"
"['agent_Hieuuu', 'longlee', 'agent_Hieu_val', 'Trang9PM_1905']","[16, 8, 7, 6]"
"['agent_Hieuuu', 'Trangold', 'agent_Hieu_val', 'longlee']","[16, 12, 11, 3]"
"['Viet_Anh', 'agent_Hieuuu', 'agent_Hieu_val', 'longlee']","[18, 15, 14, 10]"
"['Trang9PM_1905', 'phi', 'agent_Hieu_val', 'agent_Hieuuu']","[15, 8, 6, 4]"
"['Trangold', 'phi', 'agent_Hieu_val', 'agent_Hieuuu']","[16, 11, 10, 9]"
"['agent_Hieu_val', 'phi', 'agent_Hieuuu', 'Viet_Anh']","[16, 5, 4, 2]"
"['agent_Hieuuu', 'Trang9PM_1905', 'agent_Hieu_val', 'Trangold']","[16, 11, 10, 9]"
"['agent_Hieu_val', 'agent_Hieuuu', 'Viet_Anh', 'Trang9PM_1905']","[17, 17, 11, 6]"
"['Trangold', 'agent_Hieuuu', 'agent_Hieu_val', 'Viet_Anh']","[21, 10, 9, 6]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Hoang', 'agent_Khanh']","[15, 9, 4, 3]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Hoang', 'agent_MA']","[16, 11, 11, 11]"
"['agent_Hieu_val', 'agent_NA', 'agent_Hoang', 'agent_HungThom']","[18, 8, 7, 4]"
"['agent_Hoang', 'agent_HungThom', 'agent_Hieu_val', 'agent_NhatMinh']","[16, 8, 7, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_Phong', 'agent_HungThom']","[17, 13, 9, 8]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_HungThom', 'agent_random']","[16, 15, 14, 0]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_HungThom', 'agent_Hoang']","[17, 13, 12, 7]"
"['agent_Hoang', 'agent_TongMinh', 'agent_Hieu_val', 'agent_HungThom']","[17, 16, 14, 13]"
"['agent_Hieu_val', 'agent_xung', 'agent_Hoang', 'agent_HungThom']","[15, 13, 7, 7]"
"['agent_HungThom', 'agent_Hoang', 'agent_Hieu_val', 'Dat']","[18, 13, 12, 8]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_HungThom', 'longlee']","[20, 15, 15, 3]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Hoang', 'phi']","[16, 15, 8, 7]"
"['agent_HungThom', 'agent_Hoang', 'Trang9PM_1905', 'agent_Hieu_val']","[18, 12, 11, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'Trangold', 'agent_Hoang']","[16, 12, 10, 6]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_HungThom', 'Viet_Anh']","[16, 8, 5, 4]"
"['agent_Hoang', 'agent_Khanh', 'agent_MA', 'agent_Hieu_val']","[15, 12, 6, 5]"
"['agent_Hoang', 'agent_Khanh', 'agent_NA', 'agent_Hieu_val']","[15, 12, 11, 8]"
"['agent_Hoang', 'agent_NhatMinh', 'agent_Hieu_val', 'agent_Khanh']","[15, 12, 9, 6]"
"['agent_Hoang', 'agent_Phong', 'agent_Hieu_val', 'agent_Khanh']","[18, 14, 13, 11]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Khanh', 'agent_random']","[15, 11, 10, 2]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Thu_Trang', 'agent_Khanh']","[18, 13, 13, 5]"
"['agent_Hoang', 'agent_TongMinh', 'agent_Hieu_val', 'agent_Khanh']","[18, 6, 4, 4]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Khanh', 'agent_xung']","[16, 9, 6, 4]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_Khanh', 'Dat']","[16, 8, 6, 5]"
"['agent_Khanh', 'longlee', 'agent_Hieu_val', 'agent_Hoang']","[22, 16, 13, 13]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Khanh', 'phi']","[15, 14, 9, 5]"
"['agent_Khanh', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_Hoang']","[15, 13, 12, 10]"
"['agent_Hoang', 'Trangold', 'agent_Khanh', 'agent_Hieu_val']","[19, 13, 11, 7]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Khanh', 'Viet_Anh']","[16, 8, 6, 6]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_NA', 'agent_MA']","[16, 12, 12, 10]"
"['agent_Hoang', 'agent_MA', 'agent_Hieu_val', 'agent_NhatMinh']","[16, 14, 12, 9]"
"['agent_Hieu_val', 'agent_Phong', 'agent_Hoang', 'agent_MA']","[15, 12, 10, 8]"
"['agent_Hieu_val', 'agent_MA', 'agent_Hoang', 'agent_random']","[19, 12, 7, 7]"
"['agent_Hieu_val', 'agent_MA', 'agent_Thu_Trang', 'agent_Hoang']","[16, 12, 12, 8]"
"['agent_Hieu_val', 'agent_MA', 'agent_Hoang', 'agent_TongMinh']","[18, 18, 15, 15]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_MA', 'agent_xung']","[15, 14, 13, 8]"
"['agent_Hieu_val', 'Dat', 'agent_MA', 'agent_Hoang']","[16, 11, 8, 7]"
"['agent_Hieu_val', 'agent_Hoang', 'longlee', 'agent_MA']","[16, 14, 14, 12]"
"['agent_MA', 'agent_Hoang', 'agent_Hieu_val', 'phi']","[16, 15, 13, 4]"
"['agent_Hieu_val', 'agent_Hoang', 'Trang9PM_1905', 'agent_MA']","[19, 17, 15, 9]"
"['agent_Hieu_val', 'agent_MA', 'agent_Hoang', 'Trangold']","[15, 13, 11, 8]"
"['agent_Hieu_val', 'agent_Hoang', 'Viet_Anh', 'agent_MA']","[15, 15, 10, 9]"
"['agent_Hieu_val', 'agent_NA', 'agent_NhatMinh', 'agent_Hoang']","[15, 12, 7, 5]"
"['agent_Hoang', 'agent_NA', 'agent_Phong', 'agent_Hieu_val']","[16, 11, 9, 8]"
"['agent_Hoang', 'agent_NA', 'agent_Hieu_val', 'agent_random']","[17, 13, 5, 1]"
"['agent_Thu_Trang', 'agent_Hoang', 'agent_NA', 'agent_Hieu_val']","[15, 13, 11, 6]"
"['agent_TongMinh', 'agent_Hoang', 'agent_Hieu_val', 'agent_NA']","[17, 11, 6, 5]"
"['agent_Hoang', 'agent_NA', 'agent_Hieu_val', 'agent_xung']","[18, 16, 10, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_NA', 'Dat']","[16, 15, 13, 2]"
"['agent_NA', 'agent_Hieu_val', 'agent_Hoang', 'longlee']","[16, 12, 10, 10]"
"['agent_Hieu_val', 'agent_NA', 'agent_Hoang', 'phi']","[16, 15, 9, 7]"
"['agent_Hieu_val', 'agent_NA', 'agent_Hoang', 'Trang9PM_1905']","[18, 13, 8, 7]"
"['agent_Hoang', 'agent_NA', 'agent_Hieu_val', 'Trangold']","[18, 15, 9, 6]"
"['agent_NA', 'agent_Hieu_val', 'agent_Hoang', 'Viet_Anh']","[16, 10, 6, 2]"
"['agent_Hieu_val', 'agent_Phong', 'agent_Hoang', 'agent_NhatMinh']","[17, 10, 9, 9]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_random']","[17, 12, 12, 2]"
"['agent_NhatMinh', 'agent_Hoang', 'agent_Hieu_val', 'agent_Thu_Trang']","[18, 14, 7, 5]"
"['agent_Hieu_val', 'agent_NhatMinh', 'agent_TongMinh', 'agent_Hoang']","[16, 16, 12, 9]"
"['agent_xung', 'agent_Hoang', 'agent_NhatMinh', 'agent_Hieu_val']","[21, 16, 15, 9]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_NhatMinh', 'Dat']","[15, 12, 10, 5]"
"['agent_Hoang', 'agent_NhatMinh', 'agent_Hieu_val', 'longlee']","[20, 10, 8, 4]"
"['agent_Hieu_val', 'agent_NhatMinh', 'agent_Hoang', 'phi']","[20, 13, 11, 3]"
"['agent_Hoang', 'agent_Hieu_val', 'Trang9PM_1905', 'agent_NhatMinh']","[15, 8, 7, 3]"
"['agent_Hieu_val', 'Trangold', 'agent_Hoang', 'agent_NhatMinh']","[16, 12, 10, 8]"
"['Viet_Anh', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Hoang']","[15, 11, 10, 9]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Phong', 'agent_random']","[17, 15, 12, 3]"
"['agent_Thu_Trang', 'agent_Phong', 'agent_Hieu_val', 'agent_Hoang']","[15, 7, 4, 4]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Phong', 'agent_TongMinh']","[17, 15, 12, 10]"
"['agent_Phong', 'agent_Hoang', 'agent_Hieu_val', 'agent_xung']","[15, 12, 8, 4]"
"['Dat', 'agent_Hoang', 'agent_Hieu_val', 'agent_Phong']","[18, 13, 12, 11]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Phong', 'longlee']","[16, 14, 13, 3]"
"['phi', 'agent_Hieu_val', 'agent_Phong', 'agent_Hoang']","[17, 14, 10, 8]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Phong', 'Trang9PM_1905']","[15, 13, 11, 9]"
"['agent_Hieu_val', 'agent_Phong', 'Trangold', 'agent_Hoang']","[15, 13, 13, 11]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_Phong', 'Viet_Anh']","[15, 11, 7, 3]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hoang', 'agent_random']","[21, 6, 5, 2]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_TongMinh', 'agent_random']","[16, 9, 7, 3]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_xung', 'agent_random']","[15, 15, 14, 6]"
"['agent_Hieu_val', 'agent_Hoang', 'agent_random', 'Dat']","[16, 15, 2, 2]"
"['agent_Hieu_val', 'agent_Hoang', 'longlee', 'agent_random']","[15, 8, 7, 1]"
"['agent_Hoang', 'phi', 'agent_Hieu_val', 'agent_random']","[16, 13, 8, 3]"
"['agent_Hoang', 'agent_Hieu_val', 'Trang9PM_1905', 'agent_random']","[15, 7, 5, 2]"
"['agent_Hoang', 'agent_Hieu_val', 'Trangold', 'agent_random']","[17, 11, 9, 1]"
"['agent_Hieu_val', 'agent_Hoang', 'Viet_Anh', 'agent_random']","[17, 11, 9, 1]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hoang', 'agent_TongMinh']","[16, 12, 6, 6]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_Thu_Trang', 'agent_xung']","[17, 14, 13, 9]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hoang', 'Dat']","[18, 11, 5, 2]"
"['agent_Hoang', 'agent_Thu_Trang', 'longlee', 'agent_Hieu_val']","[16, 14, 9, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'phi', 'agent_Thu_Trang']","[15, 11, 8, 5]"
"['agent_Hoang', 'Trang9PM_1905', 'agent_Thu_Trang', 'agent_Hieu_val']","[17, 14, 13, 11]"
"['agent_Hoang', 'agent_Thu_Trang', 'Trangold', 'agent_Hieu_val']","[15, 12, 8, 7]"
"['agent_Hieu_val', 'agent_Hoang', 'Viet_Anh', 'agent_Thu_Trang']","[15, 11, 9, 3]"
"['agent_Hoang', 'agent_TongMinh', 'agent_xung', 'agent_Hieu_val']","[18, 9, 7, 6]"
"['agent_Hoang', 'agent_TongMinh', 'Dat', 'agent_Hieu_val']","[19, 11, 11, 7]"
"['agent_Hieu_val', 'longlee', 'agent_TongMinh', 'agent_Hoang']","[18, 12, 9, 8]"
"['agent_Hoang', 'agent_Hieu_val', 'phi', 'agent_TongMinh']","[18, 14, 14, 13]"
"['agent_Hoang', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_TongMinh']","[16, 14, 10, 5]"
"['agent_Hoang', 'agent_Hieu_val', 'agent_TongMinh', 'Trangold']","[15, 9, 8, 5]"
"['agent_TongMinh', 'agent_Hoang', 'agent_Hieu_val', 'Viet_Anh']","[16, 13, 11, 9]"
"['agent_xung', 'agent_Hieu_val', 'agent_Hoang', 'Dat']","[15, 9, 5, 2]"
"['agent_xung', 'agent_Hieu_val', 'agent_Hoang', 'longlee']","[15, 6, 6, 2]"
"['agent_Hoang', 'phi', 'agent_Hieu_val', 'agent_xung']","[17, 16, 13, 7]"
"['agent_Hieu_val', 'Trang9PM_1905', 'agent_Hoang', 'agent_xung']","[16, 14, 11, 3]"
"['Trangold', 'agent_Hoang', 'agent_Hieu_val', 'agent_xung']","[15, 13, 12, 12]"
"['agent_Hieu_val', 'agent_Hoang', 'Viet_Anh', 'agent_xung']","[17, 13, 6, 4]"
"['agent_Hieu_val', 'agent_Hoang', 'Dat', 'longlee']","[15, 8, 5, 5]"
"['agent_Hoang', 'phi', 'agent_Hieu_val', 'Dat']","[16, 11, 7, 6]"
"['Trang9PM_1905', 'agent_Hoang', 'agent_Hieu_val', 'Dat']","[15, 10, 6, 4]"
"['agent_Hoang', 'agent_Hieu_val', 'Trangold', 'Dat']","[16, 10, 9, 7]"
"['agent_Hoang', 'agent_Hieu_val', 'Dat', 'Viet_Anh']","[17, 7, 5, 5]"
"['longlee', 'agent_Hoang', 'agent_Hieu_val', 'phi']","[16, 15, 14, 10]"
"['agent_Hoang', 'agent_Hieu_val', 'longlee', 'Trang9PM_1905']","[15, 13, 9, 9]"
"['agent_Hoang', 'agent_Hieu_val', 'Trangold', 'longlee']","[15, 10, 9, 7]"
"['agent_Hieu_val', 'agent_Hoang', 'longlee', 'Viet_Anh']","[20, 18, 9, 8]"
"['agent_Hieu_val', 'agent_Hoang', 'Trang9PM_1905', 'phi']","[16, 16, 9, 8]"
"['agent_Hieu_val', 'agent_Hoang', 'Trangold', 'phi']","[15, 13, 12, 6]"
"['agent_Hieu_val', 'Viet_Anh', 'phi', 'agent_Hoang']","[16, 11, 9, 8]"
"['agent_Hoang', 'agent_Hieu_val', 'Trangold', 'Trang9PM_1905']","[19, 14, 8, 7]"
"['Trang9PM_1905', 'agent_Hoang', 'Viet_Anh', 'agent_Hieu_val']","[17, 12, 11, 5]"
"['agent_Hieu_val', 'agent_Hoang', 'Trangold', 'Viet_Anh']","[17, 15, 13, 8]"
"['agent_MA', 'agent_HungThom', 'agent_Khanh', 'agent_Hieu_val']","[15, 9, 6, 4]"
"['agent_NA', 'agent_HungThom', 'agent_Khanh', 'agent_Hieu_val']","[16, 15, 10, 9]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Khanh']","[19, 14, 13, 10]"
"['agent_HungThom', 'agent_Phong', 'agent_Hieu_val', 'agent_Khanh']","[15, 9, 5, 3]"
"['agent_HungThom', 'agent_Khanh', 'agent_Hieu_val', 'agent_random']","[15, 11, 8, 0]"
"['agent_Hieu_val', 'agent_Thu_Trang', 'agent_HungThom', 'agent_Khanh']","[21, 11, 9, 6]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Khanh', 'agent_TongMinh']","[15, 8, 5, 5]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Khanh', 'agent_xung']","[16, 10, 6, 5]"
"['agent_Hieu_val', 'agent_HungThom', 'Dat', 'agent_Khanh']","[15, 11, 11, 7]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Khanh', 'longlee']","[15, 8, 6, 6]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Khanh', 'phi']","[15, 8, 8, 8]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_Khanh']","[17, 17, 7, 3]"
"['agent_Hieu_val', 'agent_Khanh', 'agent_HungThom', 'Trangold']","[16, 13, 11, 11]"
"['agent_HungThom', 'agent_Hieu_val', 'Viet_Anh', 'agent_Khanh']","[15, 14, 13, 5]"
"['agent_Hieu_val', 'agent_MA', 'agent_NA', 'agent_HungThom']","[17, 13, 11, 8]"
"['agent_Hieu_val', 'agent_MA', 'agent_HungThom', 'agent_NhatMinh']","[18, 11, 7, 5]"
"['agent_HungThom', 'agent_MA', 'agent_Phong', 'agent_Hieu_val']","[17, 17, 14, 9]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_MA', 'agent_random']","[15, 13, 12, 2]"
"['agent_MA', 'agent_Thu_Trang', 'agent_HungThom', 'agent_Hieu_val']","[15, 10, 5, 3]"
"['agent_HungThom', 'agent_MA', 'agent_Hieu_val', 'agent_TongMinh']","[15, 15, 14, 10]"
"['agent_xung', 'agent_HungThom', 'agent_Hieu_val', 'agent_MA']","[19, 9, 8, 8]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_MA', 'Dat']","[18, 14, 11, 7]"
"['agent_HungThom', 'agent_Hieu_val', 'longlee', 'agent_MA']","[18, 15, 14, 11]"
"['agent_Hieu_val', 'agent_MA', 'phi', 'agent_HungThom']","[16, 11, 9, 6]"
"['agent_Hieu_val', 'agent_MA', 'agent_HungThom', 'Trang9PM_1905']","[16, 16, 8, 8]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_MA', 'Trangold']","[17, 16, 13, 10]"
"['agent_HungThom', 'agent_MA', 'Viet_Anh', 'agent_Hieu_val']","[16, 14, 11, 4]"
"['agent_NA', 'agent_Hieu_val', 'agent_HungThom', 'agent_NhatMinh']","[16, 13, 12, 11]"
"['agent_Hieu_val', 'agent_NA', 'agent_Phong', 'agent_HungThom']","[17, 13, 13, 7]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_NA', 'agent_random']","[15, 12, 10, 0]"
"['agent_HungThom', 'agent_NA', 'agent_Thu_Trang', 'agent_Hieu_val']","[18, 12, 12, 8]"
"['agent_TongMinh', 'agent_Hieu_val', 'agent_HungThom', 'agent_NA']","[15, 13, 11, 7]"
"['agent_NA', 'agent_HungThom', 'agent_Hieu_val', 'agent_xung']","[15, 8, 7, 4]"
"['agent_NA', 'agent_Hieu_val', 'agent_HungThom', 'Dat']","[15, 7, 2, 1]"
"['agent_NA', 'agent_Hieu_val', 'agent_HungThom', 'longlee']","[15, 11, 8, 5]"
"['agent_Hieu_val', 'agent_NA', 'agent_HungThom', 'phi']","[15, 12, 11, 7]"
"['agent_Hieu_val', 'agent_HungThom', 'Trang9PM_1905', 'agent_NA']","[17, 15, 14, 13]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_NA', 'Trangold']","[15, 14, 13, 6]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_NA', 'Viet_Anh']","[15, 14, 14, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Phong']","[15, 14, 13, 9]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_Hieu_val', 'agent_random']","[15, 13, 8, 0]"
"['agent_Thu_Trang', 'agent_HungThom', 'agent_Hieu_val', 'agent_NhatMinh']","[15, 12, 8, 8]"
"['agent_Hieu_val', 'agent_NhatMinh', 'agent_TongMinh', 'agent_HungThom']","[16, 12, 8, 7]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_xung', 'agent_Hieu_val']","[17, 14, 13, 5]"
"['Dat', 'agent_NhatMinh', 'agent_Hieu_val', 'agent_HungThom']","[18, 11, 10, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_NhatMinh', 'longlee']","[15, 8, 7, 6]"
"['agent_Hieu_val', 'agent_NhatMinh', 'phi', 'agent_HungThom']","[15, 13, 11, 9]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_NhatMinh']","[19, 11, 9, 9]"
"['agent_NhatMinh', 'agent_Hieu_val', 'Trangold', 'agent_HungThom']","[16, 12, 10, 8]"
"['agent_HungThom', 'agent_NhatMinh', 'Viet_Anh', 'agent_Hieu_val']","[18, 13, 7, 1]"
"['agent_HungThom', 'agent_Phong', 'agent_Hieu_val', 'agent_random']","[19, 11, 9, 0]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_Hieu_val', 'agent_Phong']","[18, 14, 11, 8]"
"['agent_HungThom', 'agent_Phong', 'agent_TongMinh', 'agent_Hieu_val']","[19, 9, 6, 4]"
"['agent_Hieu_val', 'agent_Phong', 'agent_HungThom', 'agent_xung']","[19, 10, 7, 7]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Phong', 'Dat']","[16, 13, 11, 9]"
"['agent_Hieu_val', 'agent_Phong', 'agent_HungThom', 'longlee']","[15, 12, 4, 3]"
"['agent_HungThom', 'agent_Phong', 'agent_Hieu_val', 'phi']","[15, 12, 11, 8]"
"['agent_HungThom', 'agent_Phong', 'agent_Hieu_val', 'Trang9PM_1905']","[17, 12, 9, 9]"
"['agent_Hieu_val', 'agent_HungThom', 'Trangold', 'agent_Phong']","[17, 14, 11, 9]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_Phong', 'Viet_Anh']","[15, 9, 9, 6]"
"['agent_Thu_Trang', 'agent_Hieu_val', 'agent_HungThom', 'agent_random']","[17, 8, 8, 2]"
"['agent_HungThom', 'agent_TongMinh', 'agent_Hieu_val', 'agent_random']","[17, 15, 12, 6]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_random', 'agent_xung']","[15, 8, 3, 0]"
"['Dat', 'agent_Hieu_val', 'agent_HungThom', 'agent_random']","[15, 8, 6, 2]"
"['longlee', 'agent_Hieu_val', 'agent_random', 'agent_HungThom']","[19, 10, 5, 4]"
"['agent_Hieu_val', 'agent_HungThom', 'phi', 'agent_random']","[17, 8, 3, 0]"
"['Trang9PM_1905', 'agent_Hieu_val', 'agent_HungThom', 'agent_random']","[15, 13, 8, 3]"
"['agent_Hieu_val', 'agent_HungThom', 'Trangold', 'agent_random']","[16, 16, 13, 1]"
"['agent_Hieu_val', 'agent_random', 'Viet_Anh', 'agent_HungThom']","[15, 3, 3, 2]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Thu_Trang', 'agent_TongMinh']","[17, 15, 8, 6]"
"['agent_Thu_Trang', 'agent_HungThom', 'agent_xung', 'agent_Hieu_val']","[15, 10, 10, 3]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_Thu_Trang', 'Dat']","[15, 12, 10, 6]"
"['agent_HungThom', 'longlee', 'agent_Hieu_val', 'agent_Thu_Trang']","[16, 16, 15, 10]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_Hieu_val', 'phi']","[16, 13, 10, 6]"
"['Trang9PM_1905', 'agent_Hieu_val', 'agent_Thu_Trang', 'agent_HungThom']","[16, 10, 7, 5]"
"['Trangold', 'agent_Hieu_val', 'agent_HungThom', 'agent_Thu_Trang']","[16, 12, 11, 11]"
"['Viet_Anh', 'agent_HungThom', 'agent_Hieu_val', 'agent_Thu_Trang']","[16, 10, 8, 6]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_TongMinh', 'agent_xung']","[15, 11, 10, 3]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_TongMinh', 'Dat']","[15, 13, 11, 8]"
"['agent_Hieu_val', 'longlee', 'agent_HungThom', 'agent_TongMinh']","[16, 9, 8, 5]"
"['agent_HungThom', 'phi', 'agent_TongMinh', 'agent_Hieu_val']","[15, 13, 10, 9]"
"['agent_TongMinh', 'Trang9PM_1905', 'agent_Hieu_val', 'agent_HungThom']","[21, 10, 9, 4]"
"['agent_Hieu_val', 'agent_TongMinh', 'agent_HungThom', 'Trangold']","[18, 16, 12, 12]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_TongMinh', 'Viet_Anh']","[18, 10, 10, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'agent_xung', 'Dat']","[16, 7, 7, 3]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_xung', 'longlee']","[15, 10, 6, 5]"
"['agent_Hieu_val', 'agent_HungThom', 'agent_xung', 'phi']","[15, 14, 10, 10]"
"['agent_Hieu_val', 'agent_HungThom', 'Trang9PM_1905', 'agent_xung']","[18, 13, 12, 6]"
"['agent_HungThom', 'agent_Hieu_val', 'Trangold', 'agent_xung']","[15, 13, 13, 8]"
"['agent_Hieu_val', 'Viet_Anh', 'agent_HungThom', 'agent_xung']","[15, 12, 9, 3]"
"['agent_HungThom', 'agent_Hieu_val', 'Dat', 'longlee']","[17, 12, 8, 8]"
"['agent_HungThom', 'agent_Hieu_val', 'phi', 'Dat']","[15, 13, 13, 7]"
"['agent_HungThom', 'agent_Hieu_val', 'Trang9PM_1905', 'Dat']","[17, 14, 14, 3]"
"['agent_Hieu_val', 'Trangold', 'agent_HungThom', 'Dat']","[18, 10, 6, 1]"
"['Dat', 'agent_HungThom', 'agent_Hieu_val', 'Viet_Anh']","[17, 16, 9, 4]"
"['agent_Hieu_val', 'longlee', 'phi', 'agent_HungThom']","[15, 12, 10, 6]"
"['agent_Hieu_val', 'agent_HungThom', 'Trang9PM_1905', 'longlee']","[18, 10, 7, 2]"
"['agent_Hieu_val', 'Trangold', 'agent_HungThom', 'longlee']","[15, 13, 8, 6]"
"['agent_HungThom', 'Viet_Anh', 'agent_Hieu_val', 'longlee']","[15, 13, 12, 11]"
