Player_ID,Player_rating_Elo,n_games
agent_random,660.134837488059,2280
agent_Khanh,1068.2208199158174,2280
agent_Chi,1074.4455269812001,2280
Dat,1103.6236412092533,2280
agent_Thu_Trang,1142.3937152229507,2280
agent_Phong,1157.1740043031243,2280
phi,1165.828911881726,2280
agent_xung,1170.8909337514299,2280
Viet_Anh,1175.6393036782356,2280
Trangold,1195.5699576455243,2280
longlee,1203.8663354503658,2280
agent_MA,1207.3697614813968,2280
agent_NhatMinh,1213.362314030858,2280
agent_HungThom,1260.5988876614092,2280
agent_Hieuuu,1267.3570336639175,2280
Trang9PM_1905,1296.628532693855,2280
agent_Hoang,1311.2459630688822,2280
agent_TongMinh,1354.5399256358062,2280
agent_Hieu_val,1359.7423436449512,2280
agent_Ann,1377.1814251113701,2280
agent_NA,1434.1858254798306,2280
